,index,full_name,club,age,league
3899,13009,David Faupala,Manchester City,20,English Premier League
3900,13020,Sebastian Nachreiner, SSV Jahn Regensburg,28,German 2. Bundesliga
3901,13045,Jordan Tell,Stade Rennais FC,20,French Ligue 1
3902,13050,Gökhan Gül,Fortuna Düsseldorf,18,German 2. Bundesliga
3903,13059,Daniel Raba Antolin,Villarreal CF,21,Spanish Primera División
3904,13071,Daniel Iversen,Leicester City,19,English Premier League
3905,13075,Valère Pollet,LOSC Lille,20,French Ligue 1
3906,13082,Alejandro Centelles Plaza,Valencia CF,17,Spanish Primera División
3907,13096,Andrea Pinamonti,Inter,18,Italian Serie A
3908,13102,Nazim Sangaré,Antalyaspor,23,Turkish Süper Lig
3909,13105,Miguel Juan Llambrich,Villarreal CF,21,Spanish Primera División
3910,13108,Ángel De la Calzada Ramos,Valencia CF,22,Spanish Primera División
3911,13110,Marcel Engelhardt,Eintracht Braunschweig,24,German 2. Bundesliga
3912,13111,Erdi Can ?ehit,Gençlerbirli?i SK,21,Turkish Süper Lig
3913,13122,Raphaël Diarra,AS Monaco,22,French Ligue 1
3914,13123,Antonio Martínez López,West Ham United,20,English Premier League
3915,13132,Nico Rieble,VfL Bochum,21,German 2. Bundesliga
3916,13141,Jon Gorenc Stankovi?,Huddersfield Town,21,English Premier League
3917,13144,Cristian Moreno Mayor,SD Eibar,22,Spanish Primera División
3918,13147,Aylton Filipe Boa Morte,Estoril Praia,23,Portuguese Primeira Liga
3919,13169,Tatsuya Ito,Hamburger SV,20,German Bundesliga
3920,13185,Freddie Ladapo,Crystal Palace,24,English Premier League
3921,13201,André Manuel Nogueira Sousa,FC Paços de Ferreira,19,Portuguese Primeira Liga
3922,13205,Mike Steven Bähre,Hannover 96,21,German Bundesliga
3923,13217,Nicolas Kühn,RB Leipzig,17,German Bundesliga
3924,13223,John-Patrick Strauß,FC Erzgebirge Aue,21,German 2. Bundesliga
3925,13226,Amir Abedzadeh,CS Marítimo,24,Portuguese Primeira Liga
3926,13234,Erik Ruiz Álvarez,Deportivo Alavés,22,Spanish Primera División
3927,13236,Malick Evouna,Atiker Konyaspor,24,Turkish Süper Lig
3928,13240,Gaëtan Poussin,Girondins de Bordeaux,18,French Ligue 1
3929,13242,Over Mandanda,Girondins de Bordeaux,18,French Ligue 1
3930,13260,Florian Baak,Hertha BSC Berlin,18,German Bundesliga
3931,13267,Alexander González Guanche,UD Las Palmas,23,Spanish Primera División
3932,13273,Kwame Yeboah,Borussia Mönchengladbach,23,German Bundesliga
3933,13282,Daniel Bachmann,Watford,22,English Premier League
3934,13286,Steffen Nkansah,Eintracht Braunschweig,21,German 2. Bundesliga
3935,13287,Emanuel Rodrigues Novo,Grupo Desportivo de Chaves,24,Portuguese Primeira Liga
3936,13292,Julio Villalba,Borussia Mönchengladbach,18,German Bundesliga
3937,13295,Joël Keller,FC St. Pauli,22,German 2. Bundesliga
3938,13296,Erik Expósito Hernández,UD Las Palmas,21,Spanish Primera División
3939,13303,Keidi Bare,Atlético Madrid,19,Spanish Primera División
3940,13317,Kilian Jakob,FC Augsburg,19,German Bundesliga
3941,13337,Richárd Magyar,SpVgg Greuther Fürth,26,German 2. Bundesliga
3942,13359,Josh Sheehan,Swansea City,22,English Premier League
3943,13372,Abdullahi Nura,Roma,19,Italian Serie A
3944,13375,Hasan K?l?ç,Osmanl?spor,24,Turkish Süper Lig
3945,13376,Gregor Zabret,Swansea City,21,English Premier League
3946,13377,Maurice Multhaup,FC Ingolstadt 04,20,German 2. Bundesliga
3947,13380,Haji Wright,SV Sandhausen,19,German 2. Bundesliga
3948,13388,Alexander Meyer,VfB Stuttgart,26,German Bundesliga
3949,13391,Ataberk Dadakdeniz,Bursaspor,17,Turkish Süper Lig
3950,13394,Cazim Suljic,Crotone,20,Italian Serie A
3951,13402,Vitaly Janelt,VfL Bochum,19,German 2. Bundesliga
3952,13405,Diego Varela Pampín,RC Celta de Vigo,17,Spanish Primera División
3953,13406,Miguel Serrano Romão Lázaro,Vitória Setúbal,22,Portuguese Primeira Liga
3954,13423,Dominik Widemann,1. FC Heidenheim,20,German 2. Bundesliga
3955,13427,Dave Gnaase,1. FC Heidenheim,20,German 2. Bundesliga
3956,13448,Pedro Pinho Marques,FC Paços de Ferreira,19,Portuguese Primeira Liga
3957,13450,Agustín Dávila,Real Sociedad,18,Spanish Primera División
3958,13455,Seydou Sy,AS Monaco,21,French Ligue 1
3959,13461,Jacob Bruun Larsen,Borussia Dortmund,18,German Bundesliga
3960,13463,Korbinian Burger,SpVgg Greuther Fürth,22,German 2. Bundesliga
3961,13471,Caleb Stanko,SC Freiburg,23,German Bundesliga
3962,13477,Erwin Zelazny,ES Troyes AC,25,French Ligue 1
3963,13485,Domingos Quina,West Ham United,17,English Premier League
3964,13492,Abdelhamid Sabiri,Huddersfield Town,20,English Premier League
3965,13502,Marco Aurélio Ribeiro Sousa,FC Paços de Ferreira,22,Portuguese Primeira Liga
3966,13510,Federico Falcone,CD Aves,27,Portuguese Primeira Liga
3967,13511,Alexandre Olliero,FC Nantes,21,French Ligue 1
3968,13513,Max Besuschkow,Eintracht Frankfurt,20,German Bundesliga
3969,13517,Atakan Akkaynak,Bayer 04 Leverkusen,18,German Bundesliga
3970,13518,Rafael Broetto Henrique,CS Marítimo,26,Portuguese Primeira Liga
3971,13519,Emre K?l?nç,Medicana Sivasspor,22,Turkish Süper Lig
3972,13524,James Lea Siliki,Stade Rennais FC,21,French Ligue 1
3973,13525,Ben Kantie Karamoko,AS Saint-Étienne,22,French Ligue 1
3974,13529,Yusupha Njie,Boavista FC,23,Portuguese Primeira Liga
3975,13558,Giovanni Crociata,Crotone,19,Italian Serie A
3976,13566,Sergio González Testón,Atlético Madrid,22,Spanish Primera División
3977,13568,Eray ??can,Galatasaray SK,25,Turkish Süper Lig
3978,13571,Orrin McKinze Gaines,SV Darmstadt 98,19,German 2. Bundesliga
3979,13574,Mohamed Zakaria Boulahia,Atlético Madrid,20,Spanish Primera División
3980,13594,Cameron Humphreys-Grant,Manchester City,18,English Premier League
